crossing time (s)	slope (V/s)	crossing number
8853.038533	5.342187	6412
8854.057053	4.891677	6413
8855.065431	4.833299	6414
8856.085491	4.536996	6415
8857.088269	4.815542	6416
8858.111215	4.793478	6417
8859.115572	5.199130	6418
8860.138472	4.878461	6419
8861.139758	4.751513	6420
8862.165902	4.547453	6421
8863.168638	4.664401	6422
8864.191496	4.539848	6423
8865.193966	5.202575	6424
8866.220121	4.473199	6425
8867.219133	4.706353	6426
8868.245800	4.501392	6427
8869.248470	4.593924	6428
8870.274681	4.391233	6429
8871.276752	4.636512	6430
8872.301801	4.226208	6431
8873.305906	4.529292	6432
8874.327268	4.659237	6433
8875.332683	4.548379	6434
8876.354788	4.466034	6435
8877.361533	4.257474	6436
8878.381095	4.452128	6437
8879.389970	4.613122	6438
8880.408659	4.768987	6439
8881.417810	5.043391	6440
8882.434529	4.840562	6441
8883.445198	5.300530	6442
8884.461309	4.981803	6443
8885.474957	5.396762	6444
8886.486932	5.042218	6445
8887.504326	5.260151	6446
8888.514011	5.274073	6447
8889.531170	5.660452	6448
8890.538281	5.156537	6449
8891.558803	5.131138	6450
8892.567332	4.927722	6451
8893.585724	4.893659	6452
8894.595107	4.966763	6453
8895.613868	4.844021	6454
8896.620628	4.860293	6455
8897.640621	4.620714	6456
8898.648701	4.612763	6457
8899.668460	4.473938	6458
8900.677902	4.507547	6459
8901.696673	4.246823	6460
8902.702349	4.535076	6461
8903.722440	4.570353	6462
8904.731363	4.577846	6463
8905.750391	4.494439	6464
8906.758462	4.313001	6465
8907.776606	4.366975	6466
8908.787572	4.559471	6467
8909.803488	4.640466	6468
8910.813112	4.744526	6469
8911.832100	4.815428	6470
8912.838591	4.672298	6471
8913.859276	4.655096	6472
8914.865942	4.654032	6473
8915.887024	4.731307	6474
8916.893232	4.855662	6475
8917.913944	4.818835	6476
8918.920555	4.949993	6477
8919.941589	5.084438	6478
8920.948397	4.938696	6479
8921.968007	5.059686	6480
8922.974036	4.974710	6481
8923.994264	4.915901	6482
8925.002333	5.036024	6483
8926.020828	5.366251	6484
8927.030696	5.066523	6485
8928.046869	5.326876	6486
8929.057390	4.964122	6487
8930.073560	5.261283	6488
8931.087150	4.997724	6489
8932.100183	5.481654	6490
8933.115765	5.157911	6491
8934.124765	5.544514	6492
8935.141992	5.090261	6493
8936.151826	5.291684	6494
8937.169176	5.070123	6495
8938.177690	5.350222	6496
8939.197758	5.060786	6497
8940.205165	5.423792	6498
8941.224858	5.116359	6499
8942.233461	5.226879	6500
8943.254207	5.050726	6501
8944.257832	5.224083	6502
8945.280422	4.913990	6503
8946.286148	5.151369	6504
8947.307866	5.077427	6505
8948.312945	5.141014	6506
8949.335230	5.101069	6507
8950.339933	5.106175	6508
8951.360886	4.918323	6509
8952.367907	5.079806	6510
8953.389093	5.029898	6511
8954.394205	5.233925	6512
8955.416417	5.177227	6513
8956.424200	5.308385	6514
8957.443170	5.193508	6515
8958.450904	5.404921	6516
8959.468762	5.155429	6517
8960.478737	5.597277	6518
8961.495512	5.221197	6519
8962.508456	5.649469	6520
8963.522027	5.306422	6521
8964.533987	5.718205	6522
8965.547822	5.474025	6523
8966.562623	5.590726	6524
8967.574383	5.303740	6525
8968.590648	5.610525	6526
8969.600379	5.412072	6527
8970.618165	5.700122	6528
8971.628137	5.348086	6529
8972.647374	5.516142	6530
8973.653271	5.428594	6531
8974.673637	5.463733	6532
