time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
8854.058675	88.386482	0.909399	0.100000	13
8856.086151	88.305901	0.908888	0.100000	15
8858.112662	88.318329	0.908219	0.100000	17
8860.139277	88.306984	0.907455	0.100000	19
8862.166624	88.349869	0.905687	0.100000	21
8864.192942	88.415009	0.908197	0.100000	23
8866.220096	88.345703	0.910379	0.100000	25
8868.247805	88.415703	0.911375	0.100000	27
8870.274985	88.530807	0.913881	0.100000	29
8872.301806	88.618378	0.914966	0.100000	31
8874.328753	88.803741	0.915393	0.100000	33
8876.355905	88.960114	0.917027	0.099615	35
8878.382794	89.149010	0.917203	0.099053	37
8880.408947	89.321297	0.918154	0.098631	39
8882.435435	89.467392	0.918712	0.098409	41
8884.462069	89.586052	0.920402	0.098662	43
8886.487471	89.681717	0.921874	0.098541	45
8888.513655	89.758842	0.922948	0.098250	47
8890.539671	89.759445	0.923326	0.097991	49
8892.566507	89.848541	0.924223	0.097468	51
8894.593390	89.883766	0.925796	0.097148	53
8896.620540	89.940887	0.925900	0.096952	55
8898.648580	90.045204	0.926973	0.096584	57
8900.675969	90.111221	0.928115	0.095976	59
8902.703536	90.153748	0.929533	0.095802	61
8904.731657	90.231499	0.930876	0.095425	63
8906.759031	90.278679	0.931577	0.094876	65
8908.786429	90.353325	0.932875	0.094518	67
8910.813109	90.437698	0.933147	0.094236	69
8912.840262	90.503441	0.935203	0.094123	71
8914.867033	90.579498	0.936685	0.093890	73
8916.893747	90.617966	0.937560	0.093674	75
8918.920829	90.718872	0.938919	0.093477	77
8920.948164	90.754990	0.940365	0.093309	79
8922.974821	90.746094	0.940483	0.093024	81
8925.002494	90.708992	0.941845	0.092959	83
8927.030570	90.653679	0.943635	0.093014	85
8929.058303	90.608841	0.944840	0.092672	87
8931.086632	90.534660	0.946233	0.092453	89
8933.114870	90.401222	0.948059	0.092406	91
8935.142709	90.380844	0.949601	0.092254	93
8937.170547	90.279556	0.951665	0.092321	95
8939.198380	90.271545	0.954200	0.092280	97
8941.226137	90.261902	0.955713	0.092096	99
8943.254044	90.267357	0.958221	0.091855	101
8945.281234	90.274956	0.959040	0.091468	103
8947.308648	90.359047	0.960272	0.091159	105
8949.336084	90.436279	0.961677	0.090894	107
8951.363008	90.516380	0.962282	0.090509	109
8953.390254	90.606491	0.962403	0.090159	111
8955.417097	90.704185	0.962636	0.089890	113
8957.443965	90.815704	0.964054	0.089760	115
8959.470214	90.903824	0.964803	0.089650	117
