time (s)	coil I (A)	last det (V)	int current (uC)
8864.448049	1.164818	0.282840	603.375793
8864.448932	1.562333	0.282840	1982.915527
8864.449834	1.545758	0.282840	3377.189209
8864.450941	0.577496	0.282840	4016.477539
8864.451893	0.091399	0.282840	4103.489258
8864.452763	0.089905	0.282840	4181.706543
8864.453805	0.090066	0.282840	4275.555176
8864.454826	0.089879	0.282840	4367.321777
8864.455718	0.090051	0.282840	4447.647461
8864.456662	0.089978	0.282840	4532.586914
8864.457716	0.089908	0.282840	4627.350586
8864.458649	0.089912	0.282840	4711.238770
8864.459516	0.090092	0.282840	4789.348145
8864.460556	0.089952	0.282840	4882.898437
8865.443320	1.103676	0.295816	520.934875
8865.444210	1.559326	0.295816	1908.735107
8865.445074	1.550145	0.295816	3248.060547
8865.446057	0.891804	0.295816	4124.704102
8865.446973	0.099342	0.295816	4215.701172
8865.447880	0.089894	0.295816	4297.234863
8865.448759	0.090088	0.295816	4376.421875
8865.449727	0.089949	0.295816	4463.492187
8865.450671	0.090040	0.295816	4548.490234
8865.451563	0.090084	0.295816	4628.845215
8865.452477	0.089985	0.295816	4711.091797
8865.453435	0.089941	0.295816	4797.255859
8865.454361	0.090150	0.295816	4880.734863
8865.455224	0.090004	0.295816	4958.408203
8866.475518	1.144017	0.272274	565.144592
8866.476488	1.562241	0.272274	2080.518555
8866.477420	1.544546	0.272274	3520.035156
8866.478291	0.779388	0.272274	4198.882324
8866.479268	0.095596	0.272274	4292.279297
8866.480210	0.089938	0.272274	4377.000488
8866.481106	0.090033	0.272274	4457.669922
8866.481967	0.090040	0.272274	4535.194824
8866.482930	0.089938	0.272274	4621.804687
8866.483885	0.090015	0.272274	4707.768555
8866.484775	0.089967	0.272274	4787.839355
8866.485683	0.089908	0.272274	4869.476074
8866.486640	0.090059	0.272274	4955.662109
8866.487563	0.090048	0.272274	5038.775879
8867.470773	1.066681	0.289366	446.939301
8867.471748	1.561036	0.289366	1968.949829
8867.472677	1.547058	0.289366	3406.166992
8867.473563	0.876833	0.289366	4183.041504
8867.474504	0.102982	0.289366	4279.947754
8867.475453	0.089839	0.289366	4365.205078
8867.476377	0.089963	0.289366	4448.331055
8867.477243	0.089982	0.289366	4526.255371
8867.478225	0.090077	0.289366	4614.710937
8867.479160	0.089978	0.289366	4698.840332
8867.480064	0.089934	0.289366	4780.140625
8867.480944	0.089993	0.289366	4859.333984
8867.481907	0.089960	0.289366	4945.965332
8867.482858	0.090033	0.289366	5031.586914
8868.505030	1.069248	0.268338	461.915161
8868.505902	1.556140	0.268338	1818.869263
8868.506765	1.551672	0.268338	3157.962402
8868.507830	0.831790	0.268338	4043.818359
8868.508731	0.098698	0.268338	4132.744629
8868.509606	0.089817	0.268338	4211.334473
8868.510575	0.090015	0.268338	4298.558594
8868.511539	0.089850	0.268338	4385.173828
8868.512462	0.089934	0.268338	4468.183105
8868.513328	0.090011	0.268338	4546.132812
8868.514351	0.089861	0.268338	4638.060547
8868.515235	0.089897	0.268338	4717.529785
8868.516099	0.089967	0.268338	4795.261230
8868.517011	0.090077	0.268338	4877.411133
8869.500451	1.152136	0.286458	592.197998
8869.501403	1.563721	0.286458	2080.860107
8869.502270	1.546110	0.286458	3421.336914
8869.503338	0.597675	0.286458	4059.653320
8869.504352	0.091014	0.286458	4151.941895
8869.505235	0.089956	0.286458	4231.373047
8869.506196	0.089938	0.286458	4317.803223
8869.507233	0.089908	0.286458	4411.038086
8869.508165	0.089864	0.286458	4494.791992
8869.509023	0.089960	0.286458	4571.977539
8869.510059	0.089985	0.286458	4665.202148
8869.511068	0.089971	0.286458	4755.982422
8869.511954	0.089938	0.286458	4835.667480
8869.512914	0.090022	0.286458	4922.088379
8870.530589	1.142926	0.274957	587.463928
8870.531502	1.562618	0.274957	2014.134521
8870.532368	1.546901	0.274957	3353.750488
8870.533456	0.630421	0.274957	4039.648682
8870.534447	0.091234	0.274957	4130.061523
8870.535323	0.089956	0.274957	4208.862793
8870.536331	0.089982	0.274957	4299.564453
8870.537359	0.089971	0.274957	4392.054199
8870.538252	0.090018	0.274957	4472.440430
8870.539110	0.089956	0.274957	4549.622559
8870.540184	0.090015	0.274957	4646.298340
8870.541151	0.089919	0.274957	4733.250488
8870.542033	0.089963	0.274957	4812.598145
8870.543029	0.090070	0.274957	4902.307617
8871.525863	1.096553	0.293250	506.607361
8871.526756	1.559249	0.293250	1899.017090
8871.527623	1.550167	0.293250	3243.012207
8871.528608	0.875988	0.293250	4105.859863
8871.529568	0.098119	0.293250	4200.054199
8871.530463	0.089912	0.293250	4280.525391
8871.531348	0.089883	0.293250	4360.071777
8871.532286	0.090048	0.293250	4444.536621
8871.533234	0.089974	0.293250	4529.832520
8871.534107	0.089945	0.293250	4608.354492
8871.535018	0.089843	0.293250	4690.201172
8871.535968	0.089795	0.293250	4775.506348
8871.536889	0.089868	0.293250	4858.274902
8871.537762	0.090000	0.293250	4936.844727
8872.556985	1.048605	0.268540	440.413971
8872.557910	1.556422	0.268540	1880.104370
8872.558861	1.548032	0.268540	3352.282959
8872.559788	0.854707	0.268540	4144.596680
8872.560656	0.101327	0.268540	4232.548340
8872.561623	0.089886	0.268540	4319.468750
8872.562543	0.089908	0.268540	4402.184570
8872.563456	0.090044	0.268540	4484.394531
8872.564315	0.089963	0.268540	4561.672852
8872.565281	0.089993	0.268540	4648.605957
8872.566204	0.089905	0.268540	4731.587891
8872.567097	0.089971	0.268540	4811.931641
8872.568010	0.089963	0.268540	4894.068359
8872.568958	0.090051	0.268540	4979.437012
8873.555409	1.073676	0.277583	467.048859
8873.556276	1.555594	0.277583	1815.749268
8873.557320	1.545894	0.277583	3429.662109
8873.558205	0.829354	0.277583	4163.640625
8873.559069	0.100840	0.277583	4250.766113
8873.560050	0.089843	0.277583	4338.901855
8873.560992	0.089982	0.277583	4423.664551
8873.561912	0.089927	0.277583	4506.396973
8873.562787	0.089923	0.277583	4585.079590
8873.563801	0.089908	0.277583	4676.246582
8873.564695	0.089912	0.277583	4756.627930
8873.565613	0.089894	0.277583	4839.150391
8873.566488	0.090007	0.277583	4917.906738
8873.567478	0.089864	0.277583	5006.872559
8874.584515	1.069329	0.267319	463.019257
8874.585386	1.555715	0.267319	1818.047363
8874.586414	1.546846	0.267319	3408.204590
8874.587407	0.706776	0.267319	4110.033203
8874.588300	0.094980	0.267319	4194.850586
8874.589160	0.089963	0.267319	4272.219238
8874.590251	0.089996	0.267319	4370.405273
8874.591153	0.089875	0.267319	4451.473145
8874.592021	0.089956	0.267319	4529.555176
8874.593009	0.090007	0.267319	4618.482422
8874.594000	0.090048	0.267319	4707.719727
8874.594887	0.089930	0.267319	4787.487793
8874.595747	0.090092	0.267319	4864.966309
8874.596839	0.089861	0.267319	4963.094238
8875.583955	1.079557	0.279763	482.561890
8875.584828	1.556726	0.279763	1841.583740
8875.585827	1.546791	0.279763	3386.827637
8875.586900	0.638760	0.279763	4072.216797
8875.587772	0.092992	0.279763	4153.305664
8875.588639	0.090059	0.279763	4231.386230
8875.589753	0.089941	0.279763	4331.581055
8875.590717	0.090033	0.279763	4418.373047
8875.591585	0.089989	0.279763	4496.483398
8875.592612	0.089963	0.279763	4588.875977
8875.593647	0.090059	0.279763	4682.086426
8875.594538	0.090015	0.279763	4762.289551
8875.595453	0.089960	0.279763	4844.602539
8875.596514	0.090044	0.279763	4940.139160
8876.611060	1.081267	0.266767	520.089417
8876.611993	1.560502	0.266767	1976.037598
8876.612916	1.546798	0.266767	3403.732422
8876.613786	0.874706	0.266767	4164.726562
8876.614763	0.095687	0.266767	4258.212891
8876.615723	0.089861	0.266767	4344.479492
8876.616640	0.089952	0.266767	4426.965820
8876.617512	0.090029	0.266767	4505.471191
8876.618481	0.089956	0.266767	4592.638672
8876.619435	0.089945	0.266767	4678.446289
8876.620326	0.090004	0.266767	4758.639648
8876.621212	0.089934	0.266767	4838.321289
8876.622143	0.089919	0.266767	4922.036133
8876.623077	0.089934	0.266767	5006.034668
8877.614539	1.073584	0.255581	464.861847
8877.615416	1.556298	0.255581	1829.734863
8877.616281	1.551665	0.255581	3171.925293
8877.617295	0.910115	0.255581	4094.781738
8877.618226	0.100049	0.255581	4187.927246
8877.619100	0.089905	0.255581	4266.503906
8877.619994	0.089747	0.255581	4346.737793
8877.620932	0.089886	0.255581	4431.051270
8877.621876	0.090037	0.255581	4516.045898
8877.622746	0.089945	0.255581	4594.298340
8877.623654	0.089868	0.255581	4675.898437
8877.624604	0.089868	0.255581	4761.273437
8877.625527	0.090015	0.255581	4844.356934
8877.626404	0.089974	0.255581	4923.264648
8878.636551	1.121382	0.266784	560.690918
8878.637451	1.561589	0.266784	1966.121338
8878.638328	1.548640	0.266784	3324.278809
8878.639324	0.782758	0.266784	4103.905273
8878.640313	0.093289	0.266784	4196.167480
8878.641204	0.089978	0.266784	4276.337891
8878.642065	0.089773	0.266784	4353.632324
8878.643153	0.089960	0.266784	4451.508301
8878.644055	0.089861	0.266784	4532.562988
8878.644924	0.090015	0.266784	4610.785645
8878.645934	0.090073	0.266784	4701.759766
8878.646926	0.089934	0.266784	4790.974609
8878.647798	0.089945	0.266784	4869.406738
8878.648676	0.089989	0.266784	4948.416992
8879.644111	1.078542	0.253055	467.008881
8879.645031	1.555624	0.253055	1898.182739
8879.646091	1.542664	0.253055	3533.406250
8879.647052	0.614099	0.253055	4123.555664
8879.647915	0.093611	0.253055	4204.341797
8879.648957	0.089956	0.253055	4298.076172
8879.649983	0.089971	0.253055	4390.386230
8879.650866	0.089956	0.253055	4469.817383
8879.651815	0.089949	0.253055	4555.178711
8879.652884	0.089861	0.253055	4651.239746
8879.653802	0.089868	0.253055	4733.738770
8879.654660	0.089978	0.253055	4810.939941
8879.655681	0.089985	0.253055	4902.814941
8879.656699	0.089971	0.253055	4994.405273
8880.662008	1.099039	0.281576	516.548462
8880.662904	1.559041	0.281576	1913.448853
8880.663771	1.549655	0.281576	3256.999512
8880.664762	0.871461	0.281576	4120.617676
8880.665672	0.098969	0.281576	4210.679199
8880.666572	0.089769	0.281576	4291.471680
8880.667445	0.089949	0.281576	4369.997070
8880.668410	0.090048	0.281576	4456.893066
8880.669364	0.089908	0.281576	4542.665527
8880.670255	0.089934	0.281576	4622.796875
8880.671163	0.089956	0.281576	4704.477051
8880.672115	0.089868	0.281576	4790.031738
8880.673034	0.089854	0.281576	4872.606934
8880.673897	0.090037	0.281576	4950.308594
8881.671645	1.089994	0.254437	490.497284
8881.672517	1.557620	0.254437	1848.741577
8881.673435	1.549618	0.254437	3271.290771
8881.674394	0.868993	0.254437	4104.654785
8881.675328	0.098635	0.254437	4196.780273
8881.676205	0.089901	0.254437	4275.623535
8881.677170	0.090022	0.254437	4362.494629
8881.678090	0.089985	0.254437	4445.281250
8881.679010	0.089956	0.254437	4528.041016
8881.679875	0.089949	0.254437	4605.846680
8881.680844	0.089857	0.254437	4692.918457
8881.681793	0.089971	0.254437	4778.300781
8881.682677	0.089978	0.254437	4857.841309
8881.683584	0.089923	0.254437	4939.401367
8882.688444	1.057647	0.268479	448.442108
8882.689328	1.554496	0.268479	1822.616455
8882.690311	1.547421	0.268479	3343.730957
8882.691249	0.838590	0.268479	4130.328613
8882.692133	0.100001	0.268479	4218.729492
8882.693069	0.089821	0.268479	4302.801758
8882.694012	0.089883	0.268479	4387.561035
8882.694939	0.089901	0.268479	4470.899414
8882.695806	0.089861	0.268479	4548.808594
8882.696765	0.089916	0.268479	4635.037598
8882.697663	0.089864	0.268479	4715.735840
8882.698583	0.089934	0.268479	4798.475098
8882.699458	0.089971	0.268479	4877.199707
8882.700423	0.089894	0.268479	4963.947266
8883.701176	1.046634	0.244483	439.586456
8883.702065	1.554122	0.244483	1821.201172
8883.703117	1.545293	0.244483	3446.849365
8883.704018	0.787643	0.244483	4156.515625
8883.704896	0.098470	0.244483	4242.972656
8883.705903	0.090018	0.244483	4333.621094
8883.706830	0.089934	0.244483	4416.990234
8883.707749	0.089989	0.244483	4499.689941
8883.708608	0.089791	0.244483	4576.820801
8883.709636	0.090007	0.244483	4669.348145
8883.710522	0.089949	0.244483	4749.042969
8883.711392	0.089960	0.244483	4827.308105
8883.712340	0.090037	0.244483	4912.662598
8883.713287	0.089879	0.244483	4997.778320
8884.715000	1.090444	0.280637	528.865479
8884.716056	1.563867	0.280637	2180.309082
8884.716946	1.542557	0.280637	3553.185059
8884.717815	0.726522	0.280637	4184.532715
8884.718853	0.093237	0.280637	4281.312988
8884.719809	0.089956	0.280637	4367.311035
8884.720681	0.090004	0.280637	4445.794434
8884.721559	0.089963	0.280637	4524.782227
8884.722671	0.089901	0.280637	4624.752441
8884.723544	0.089993	0.280637	4703.315918
8884.724409	0.090011	0.280637	4781.175293
8884.725446	0.090062	0.280637	4874.569824
8884.726408	0.090007	0.280637	4961.156738
8884.727331	0.089930	0.280637	5044.162598
8885.728813	1.157644	0.261937	606.605469
8885.729760	1.563992	0.261937	2087.705566
8885.730625	1.545879	0.261937	3424.890625
8885.731674	0.626495	0.261937	4082.084229
8885.732700	0.091245	0.261937	4175.701660
8885.733580	0.089938	0.261937	4254.846680
8885.734517	0.090059	0.261937	4339.231445
8885.735575	0.090125	0.261937	4434.583008
8885.736509	0.089993	0.261937	4518.636230
8885.737367	0.090088	0.261937	4595.931641
8885.738393	0.090026	0.261937	4688.297852
8885.739404	0.089971	0.261937	4779.258301
8885.740295	0.090081	0.261937	4859.520020
8885.741256	0.090000	0.261937	4946.010254
8886.739410	1.075931	0.293282	473.409790
8886.740281	1.556312	0.293282	1828.957764
8886.741342	1.543960	0.293282	3467.099121
8886.742404	0.551682	0.293282	4052.985596
8886.743308	0.091509	0.293282	4135.709473
8886.744173	0.090018	0.293282	4213.575195
8886.745275	0.090018	0.293282	4312.775391
8886.746242	0.090026	0.293282	4399.830078
8886.747107	0.089949	0.293282	4477.635742
8886.748141	0.089996	0.293282	4570.691895
8886.749182	0.089941	0.293282	4664.320801
8886.750078	0.089982	0.293282	4744.944336
8886.750989	0.090048	0.293282	4826.977539
8886.752078	0.090033	0.293282	4925.023437
8887.757311	1.109780	0.255194	533.804321
8887.758237	1.561370	0.255194	1979.632568
8887.759126	1.547465	0.255194	3355.328613
8887.760050	0.865214	0.255194	4154.786133
8887.760994	0.097299	0.255194	4246.636230
8887.761927	0.089832	0.255194	4330.449219
8887.762816	0.089963	0.255194	4410.426758
8887.763750	0.089886	0.255194	4494.380859
8887.764694	0.089952	0.255194	4579.295898
8887.765620	0.089952	0.255194	4662.591797
8887.766485	0.089886	0.255194	4740.343750
8887.767419	0.089919	0.255194	4824.328613
8887.768370	0.090011	0.255194	4909.929199
8887.769253	0.089905	0.255194	4989.314941
8888.763884	1.083281	0.298019	502.642517
8888.764776	1.558986	0.298019	1893.257568
8888.765643	1.550328	0.298019	3237.392090
8888.766614	0.898916	0.298019	4110.239258
8888.767545	0.099994	0.298019	4203.333496
8888.768467	0.089916	0.298019	4286.235840
8888.769327	0.089744	0.298019	4363.415527
8888.770298	0.089890	0.298019	4450.698730
8888.771204	0.090011	0.298019	4532.248535
8888.772085	0.089897	0.298019	4611.448242
8888.773025	0.090095	0.298019	4696.137695
8888.773963	0.089949	0.298019	4780.509766
8888.774859	0.090011	0.298019	4861.159668
8888.775724	0.089864	0.298019	4938.892578
8889.783742	1.058379	0.270461	449.811005
8889.784613	1.555173	0.270461	1804.366943
8889.785586	1.549651	0.270461	3312.177246
8889.786494	0.925118	0.270461	4152.184570
8889.787411	0.103726	0.270461	4247.300781
8889.788275	0.089886	0.270461	4324.962891
8889.789226	0.089773	0.270461	4410.336914
8889.790148	0.090143	0.270461	4493.448730
8889.791071	0.090040	0.270461	4576.555664
8889.791950	0.090018	0.270461	4655.681641
8889.792908	0.089927	0.270461	4741.831543
8889.793850	0.090000	0.270461	4826.611328
8889.794746	0.089938	0.270461	4907.195312
8889.795654	0.089963	0.270461	4988.881836
8890.791495	1.189365	0.301939	669.612671
8890.792464	1.564526	0.301939	2185.638672
8890.793394	1.540928	0.301939	3618.701660
8890.794262	0.661088	0.301939	4192.525879
8890.795346	0.091542	0.301939	4291.757324
8890.796253	0.089817	0.301939	4373.221191
8890.797111	0.090011	0.301939	4450.450684
8890.798110	0.090007	0.301939	4540.368164
8890.799113	0.089883	0.301939	4630.520508
8890.799998	0.090000	0.301939	4710.170410
8890.800859	0.089956	0.301939	4787.622559
8890.801951	0.090055	0.301939	4885.962402
8890.802854	0.089868	0.301939	4967.113281
8890.803730	0.089949	0.301939	5045.908203
8891.813312	1.059049	0.259275	452.213928
