time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6536.345606	85.910042	0.784878	0.034069	41
6538.372590	85.934319	0.783600	0.034264	43
6540.398972	85.955940	0.782712	0.034603	45
6542.424872	85.968033	0.782206	0.034939	47
6544.450955	85.978760	0.779278	0.035051	49
6546.479391	85.941063	0.792445	0.035260	51
6548.508951	85.908661	0.803449	0.035056	53
6550.538670	85.873207	0.814512	0.034611	55
6552.567859	85.848488	0.825686	0.034501	57
6554.597415	85.818100	0.837331	0.034374	59
6556.626262	85.810310	0.848859	0.034025	61
6558.655409	85.797981	0.861058	0.034004	63
6560.684717	85.761284	0.872764	0.033922	65
6562.713575	85.750824	0.884690	0.033842	67
6564.742146	85.723877	0.895810	0.034006	69
6566.771018	85.706558	0.906711	0.033410	71
6568.799295	85.688805	0.917137	0.033261	73
6570.827520	85.682785	0.927801	0.033077	75
6572.856198	85.658394	0.939866	0.032770	77
6574.884285	85.631622	0.951123	0.032497	79
6576.913165	85.608482	0.961652	0.032362	81
6578.941019	85.626060	0.972609	0.032089	83
6580.969577	85.573586	0.982391	0.032090	85
6582.998360	85.582153	0.992940	0.031770	87
6585.026789	85.600700	1.002782	0.031575	89
6587.055541	85.571259	1.012461	0.031663	91
6589.083885	85.556503	1.020920	0.031665	93
6591.112007	85.580521	1.030486	0.031418	95
6593.140812	85.592987	1.039971	0.031281	97
6595.169262	85.574890	1.049399	0.031423	99
6597.197549	85.578957	1.057755	0.031318	101
6599.225898	85.594215	1.066778	0.031122	103
6601.253925	85.585037	1.076157	0.030918	105
6603.282285	85.569626	1.084940	0.030724	107
6605.310832	85.597382	1.093288	0.030639	109
6607.338661	85.592056	1.102562	0.030840	111
6609.366813	85.569870	1.111265	0.030725	113
6611.394799	85.566879	1.119512	0.030515	115
6613.423078	85.577484	1.126870	0.030433	117
6615.451207	85.572876	1.133901	0.030559	119
6617.478702	85.559120	1.141260	0.030738	121
6619.506637	85.585609	1.148866	0.030916	123
6621.534509	85.580032	1.155619	0.030901	125
6623.562187	85.555420	1.162604	0.030821	127
6625.589725	85.535881	1.169062	0.030642	129
6627.617142	85.566795	1.174591	0.030482	131
6629.645089	85.566696	1.180523	0.030425	133
6631.672441	85.583847	1.186643	0.030202	135
6633.699976	85.563538	1.192667	0.030275	137
6635.727766	85.587654	1.198276	0.030144	139
6637.755371	85.624168	1.203245	0.030144	141
6639.782919	85.576782	1.208347	0.030367	143
6641.810624	85.617111	1.212768	0.030285	145
6643.837987	85.630630	1.218819	0.030447	147
6645.865654	85.626343	1.224628	0.030623	149
6647.893177	85.634102	1.228800	0.030701	151
6649.920626	85.653603	1.233001	0.030857	153
6651.948187	85.708771	1.238608	0.031148	155
6653.975884	85.703705	1.242780	0.031424	157
6656.003123	85.687088	1.247454	0.031583	159
6658.030705	85.748840	1.252419	0.031656	161
6660.058312	85.744957	1.256725	0.031724	163
6662.085606	85.745560	1.260432	0.031965	165
6664.112878	85.720131	1.264032	0.032003	167
6666.140245	85.764099	1.267538	0.031895	169
6668.167504	85.743469	1.273034	0.031970	171
6670.194872	85.762794	1.277239	0.032035	173
6672.221956	85.759232	1.280898	0.032279	175
6674.249348	85.755775	1.284076	0.032347	177
