time (s)	det(V)
1899.441374	-0.332436	
1899.442884	-0.334044	
1899.444479	-0.333508	
1899.445980	-0.332948	
1899.447539	-0.335292	
1899.449082	-0.335590	
1899.450652	-0.336493	
1899.452176	-0.338354	
1899.453710	-0.341617	
1899.455277	-0.343599	
1899.456816	-0.344090	
1899.458387	-0.346991	
1899.459888	-0.349396	
1899.461463	-0.349206	
1899.462999	-0.349790	
1899.464591	-0.353549	
1899.466094	-0.354528	
1899.467649	-0.355579	
1899.469171	-0.358600	
1899.470718	-0.362592	
1899.472258	-0.362935	
1899.473802	-0.365034	
1899.475386	-0.368288	
1899.476927	-0.369996	
1899.478476	-0.370234	
1899.480003	-0.371434	
1899.481740	-0.374697	
1899.483327	-0.375753	
1899.485002	-0.376989	
1899.486590	-0.381501	
1899.488249	-0.384168	
1899.489837	-0.385437	
1899.491480	-0.388092	
1899.493093	-0.390339	
1899.494714	-0.389860	
1899.496372	-0.390778	
1899.497998	-0.393216	
1899.499636	-0.393103	
1899.501233	-0.393731	
1899.502904	-0.396285	
1899.504488	-0.398013	
1899.506186	-0.397067	
1899.507744	-0.398255	
1899.509465	-0.398803	
1899.511014	-0.396571	
1899.512722	-0.395069	
1899.514268	-0.394839	
1899.515963	-0.392829	
1899.517469	-0.390770	
1899.519234	-0.389824	
1899.520716	-0.390428	
1899.522493	-0.386694	
1899.523974	-0.384958	
1899.525757	-0.382823	
1899.527243	-0.379705	
1899.529019	-0.374073	
1899.530502	-0.372220	
1899.532283	-0.368796	
1899.533775	-0.364067	
1899.535546	-0.360916	
1899.537050	-0.359088	
1899.538786	-0.355736	
1899.540305	-0.350801	
1899.541959	-0.347877	
1899.543520	-0.344171	
1899.545129	-0.338028	
1899.546709	-0.332875	
1899.548291	-0.329645	
1899.549914	-0.324497	
1899.551483	-0.319381	
1899.553096	-0.316363	
1899.554603	-0.314260	
1899.556288	-0.307654	
1899.557777	-0.304697	
1899.559500	-0.300613	
1899.560979	-0.295122	
1899.562701	-0.289418	
1899.564191	-0.286803	
1899.565901	-0.281470	
1899.567384	-0.276330	
1899.569097	-0.272934	
1899.570586	-0.270827	
1899.572266	-0.266142	
1899.573772	-0.261993	
1899.575432	-0.258670	
1899.576970	-0.254625	
1899.578521	-0.248116	
1899.580122	-0.243737	
1899.581614	-0.240438	
1899.583281	-0.235648	
1899.584780	-0.230878	
1899.586415	-0.228788	
1899.587945	-0.225988	
1899.589575	-0.221343	
1899.591074	-0.218926	
1899.592724	-0.216304	
1899.594217	-0.211615	
1899.595856	-0.206265	
1899.597334	-0.204875	
1899.598989	-0.201407	
1899.600469	-0.196863	
1899.602060	-0.193685	
1899.603594	-0.193173	
1899.605144	-0.189495	
1899.606747	-0.185942	
1899.608246	-0.183872	
1899.609868	-0.181624	
1899.611397	-0.177378	
1899.613038	-0.172190	
1899.614515	-0.170385	
1899.616096	-0.167162	
1899.617580	-0.163827	
1899.619137	-0.160951	
1899.620641	-0.160266	
1899.622185	-0.156669	
1899.623740	-0.153087	
1899.625236	-0.151150	
1899.626839	-0.147907	
1899.628341	-0.142896	
1899.629918	-0.138751	
1899.631434	-0.136990	
1899.633005	-0.132559	
1899.634517	-0.129308	
1899.636081	-0.126907	
1899.637618	-0.124635	
1899.639186	-0.119773	
1899.640715	-0.116365	
1899.642226	-0.113445	
1899.643818	-0.109364	
1899.645310	-0.103040	
1899.646909	-0.099168	
1899.648403	-0.096961	
1899.650006	-0.090366	
1899.651511	-0.086020	
1899.653066	-0.084018	
1899.654597	-0.081891	
1899.656124	-0.075579	
1899.657704	-0.072799	
1899.659198	-0.069766	
1899.660776	-0.064666	
1899.662306	-0.059654	
1899.663901	-0.056242	
1899.665413	-0.053487	
1899.666979	-0.048428	
1899.668517	-0.044726	
1899.670068	-0.043437	
1899.671602	-0.040492	
1899.673119	-0.035771	
1899.674697	-0.033470	
1899.676214	-0.031287	
1899.677793	-0.025905	
1899.679287	-0.020757	
1899.680870	-0.018775	
1899.682395	-0.014159	
1899.683989	-0.010199	
1899.685488	-0.007061	
1899.687053	-0.005893	
1899.688573	-0.002452	
1899.690135	0.002982	
1899.691664	0.005274	
1899.693194	0.008642	
1899.694765	0.013967	
1899.696256	0.017971	
1899.697839	0.019619	
1899.699366	0.023772	
1899.700956	0.027252	
1899.702448	0.029605	
1899.704018	0.029984	
1899.705540	0.034523	
1899.707107	0.040860	
1899.708638	0.043708	
1899.710161	0.046576	
1899.711729	0.051668	
1899.713254	0.054500	
1899.714856	0.056639	
1899.716350	0.060812	
1899.717952	0.064760	
1899.719475	0.065058	
1899.721070	0.066730	
1899.722571	0.070895	
1899.724140	0.072821	
1899.725664	0.074613	
1899.727241	0.077880	
1899.728760	0.084148	
1899.730283	0.087246	
1899.731874	0.089035	
1899.733370	0.092834	
1899.734979	0.096403	
1899.736474	0.097877	
1899.738076	0.100250	
1899.739560	0.104544	
1899.741136	0.107468	
1899.742655	0.111348	
1899.744218	0.116383	
1899.745757	0.121684	
1899.747283	0.125479	
1899.748835	0.129596	
1899.750377	0.134039	
1899.751959	0.139453	
1899.753460	0.141153	
1899.755048	0.145443	
1899.756564	0.150833	
1899.758184	0.154515	
1899.759682	0.158286	
1899.761255	0.164654	
1899.762786	0.170661	
1899.764363	0.174069	
1899.765887	0.179539	
1899.767505	0.184091	
1899.769240	0.188192	
1899.770733	0.191249	
1899.772499	0.196901	
1899.773981	0.201095	
1899.775755	0.205320	
1899.777238	0.210755	
1899.779018	0.218436	
1899.780512	0.222505	
1899.782312	0.227577	
1899.783797	0.233913	
1899.785562	0.238216	
1899.787066	0.240681	
1899.788791	0.245930	
1899.790303	0.251473	
1899.792024	0.254397	
1899.793550	0.258716	
1899.795278	0.266482	
1899.796824	0.271083	
1899.798529	0.274616	
1899.800085	0.279723	
1899.801768	0.284646	
1899.803330	0.286761	
1899.804912	0.288690	
1899.806523	0.293992	
1899.808077	0.296767	
1899.809707	0.300965	
1899.811190	0.305545	
1899.812918	0.310576	
1899.814396	0.312075	
1899.816118	0.316220	
1899.817595	0.319535	
1899.819313	0.321054	
1899.820809	0.321243	
1899.822528	0.325497	
1899.824020	0.326468	
1899.825736	0.328390	
1899.827215	0.331677	
1899.828920	0.335242	
1899.830410	0.336217	
1899.832087	0.338146	
1899.833616	0.341905	
1899.835169	0.343508	
1899.836783	0.342726	
1899.838271	0.344757	
1899.839934	0.347117	
1899.841425	0.347427	
1899.843063	0.348322	
1899.844588	0.352314	
1899.846233	0.355544	
1899.847711	0.354952	
1899.849344	0.357901	
1899.850829	0.361003	
1899.852469	0.362139	
1899.853964	0.361454	
1899.855588	0.364278	
1899.857101	0.366791	
