time (s)	magX	magY	magZ
2315.689746	-498.947998	269.725311	-286.031555
2315.693099	-499.357086	270.017517	-286.148437
2315.696832	-499.006409	269.842194	-285.914673
2315.700132	-498.421967	270.075989	-285.973114
2315.703448	-499.357086	270.251312	-286.090027
2315.706762	-498.831085	269.725311	-286.499115
2315.710131	-499.298676	270.017517	-287.142029
2315.713421	-498.772675	270.485077	-288.077148
2315.716718	-499.473999	269.959106	-288.018707
2315.720457	-499.707794	270.368195	-288.836945
2315.723714	-499.707794	270.543549	-288.720032
2315.727046	-499.649323	270.368195	-288.252472
2315.730318	-499.649323	270.543549	-288.778503
2315.733626	-500.350677	271.011108	-288.603149
2315.737359	-500.292206	270.894226	-288.836945
2315.741117	-500.584473	271.829346	-288.953827
2315.744447	-500.701324	271.829346	-290.064301
2315.747782	-500.876678	272.705994	-290.005859
2315.751110	-500.876678	273.758026	-290.239624
2315.754444	-500.467590	273.933350	-290.940979
2315.757795	-500.876678	274.108734	-291.408539
2315.761115	-501.578033	274.342499	-293.687897
2315.764442	-501.578033	275.803619	-295.207489
2315.767773	-502.162445	276.446533	-295.616608
2315.771108	-501.694916	276.972534	-296.960815
2315.774442	-502.396240	277.732330	-299.415527
2315.777776	-502.980713	278.667450	-300.759796
2315.781105	-503.506714	279.544128	-303.623596
2315.784445	-504.675629	281.063690	-305.260071
2315.787776	-504.500305	281.589722	-307.130341
2315.791111	-505.902954	283.109283	-310.052612
2315.794475	-506.312073	283.635315	-312.565765
2315.797771	-505.961426	284.687317	-315.371124
2315.801123	-508.532990	285.096436	-318.118042
2315.804877	-509.059052	286.148437	-322.092346
2315.808195	-509.877258	287.025146	-325.014618
2315.811530	-511.221497	288.895386	-328.404449
2315.814870	-512.682617	289.362946	-331.969604
2315.818238	-513.500854	291.057861	-336.353027
2315.821553	-514.669800	291.817627	-339.859711
2315.824889	-517.007568	291.700775	-343.541779
2315.828223	-517.650513	293.337219	-347.866760
2315.831547	-518.760986	294.038574	-351.315033
2315.834872	-520.748108	295.090576	-355.756866
2315.838236	-520.864990	296.142609	-359.497375
2315.841954	-522.384521	296.025696	-364.465240
2315.845315	-524.605530	297.720612	-367.971954
2315.848640	-526.241943	298.363525	-372.238434
2315.852030	-527.001770	299.883118	-375.862061
2315.855353	-528.521362	301.402679	-380.303894
2315.858616	-529.222656	302.162476	-384.453522
2315.861974	-530.800720	303.214508	-388.486267
2315.865277	-532.670959	303.974304	-392.635895
2315.868645	-532.729370	304.909424	-396.785492
2315.872440	-533.430725	306.195221	-401.285797
2315.875791	-534.891907	307.597900	-406.078339
2315.879126	-536.528320	309.059021	-409.994171
2315.882507	-536.995911	309.877289	-415.078888
