time (s)	coil I (A)	last det (V)	int current (uC)
3555.154961	1.122579	0.482799	552.309021
3555.155869	1.560242	0.482799	1969.008545
3555.156755	1.548003	0.482799	3340.539062
3555.157677	1.508262	0.482799	4731.156250
3555.158645	1.464862	0.482799	6149.142578
3555.159581	1.425029	0.482799	7482.969727
3555.160446	1.389309	0.482799	8684.721680
3555.161358	1.353333	0.482799	9918.960937
3555.162309	1.318052	0.482799	11172.427734
3555.163239	1.285302	0.482799	12367.757812
3555.164115	1.253745	0.482799	13466.038086
3555.165090	1.221281	0.482799	14656.787109
3555.166035	1.190295	0.482799	15781.616211
3555.166936	1.161548	0.482799	16828.171875
3555.167850	1.134653	0.482799	17865.244141
3555.168828	0.502148	0.482799	18356.345703
3555.169749	0.091351	0.482799	18440.480469
3555.170626	0.089963	0.482799	18519.378906
3555.171554	0.089993	0.482799	18602.892578
3555.172517	0.089985	0.482799	18689.548828
3555.173422	0.090018	0.482799	18771.015625
3555.174301	0.090011	0.482799	18850.134766
3555.175246	0.089952	0.482799	18935.140625
3555.176191	0.090004	0.482799	19020.193359
3555.177087	0.090000	0.482799	19100.833984
3555.177980	0.089996	0.482799	19181.201172
3556.197587	1.097223	0.444989	479.486420
3556.198522	1.559623	0.444989	1937.733887
3556.199452	1.547183	0.444989	3376.613770
3556.200328	1.507844	0.444989	4697.485352
3556.201301	1.464855	0.444989	6122.789062
3556.202252	1.425396	0.444989	7478.340332
3556.203150	1.388551	0.444989	8725.258789
3556.204069	1.353534	0.444989	9969.156250
3556.205042	1.317638	0.444989	11251.217773
3556.205973	1.284067	0.444989	12446.684570
3556.206838	1.253284	0.444989	13530.775391
3556.207800	1.220255	0.444989	14704.661133
3556.208751	1.188981	0.444989	15835.381836
3556.209663	1.160149	0.444989	16893.437500
3556.210541	1.133397	0.444989	17888.560547
3556.211522	0.461041	0.444989	18340.841797
3556.212466	0.090996	0.444989	18426.742187
3556.213360	0.090022	0.444989	18507.222656
3556.214269	0.089912	0.444989	18588.953125
3556.215198	0.090004	0.444989	18672.566406
3556.216138	0.089996	0.444989	18757.162109
3556.217026	0.089974	0.444989	18837.058594
3556.217954	0.090026	0.444989	18920.601562
3556.218913	0.090000	0.444989	19006.912109
3556.219845	0.090000	0.444989	19090.792969
3556.220704	0.090011	0.444989	19168.113281
3557.179314	1.046697	0.542241	437.519257
3557.180283	1.559359	0.542241	1948.538330
3557.181212	1.545941	0.542241	3384.717773
3557.182141	1.505826	0.542241	4783.630371
3557.183007	1.465997	0.542241	6053.184082
3557.183992	1.425396	0.542241	7457.198730
3557.184950	1.386987	0.542241	8785.932617
3557.185846	1.351816	0.542241	9997.160156
3557.186760	1.318268	0.542241	11202.056641
3557.187724	1.284324	0.542241	12440.144531
3557.188652	1.251222	0.542241	13601.278320
3557.189523	1.221295	0.542241	14665.026367
3557.190471	1.189863	0.542241	15793.016602
3557.191400	1.159830	0.542241	16870.500000
3557.192327	1.132694	0.542241	17920.507812
3557.193211	0.507795	0.542241	18369.398437
3557.194186	0.091516	0.542241	18458.626953
3557.195129	0.090000	0.542241	18543.496094
3557.196023	0.090081	0.542241	18624.027344
3557.196917	0.090022	0.542241	18704.507812
3557.197863	0.090051	0.542241	18789.697266
3557.198800	0.090066	0.542241	18874.089844
3557.199667	0.090018	0.542241	18952.134766
3557.200635	0.090018	0.542241	19039.273437
3557.201580	0.089993	0.542241	19124.316406
3557.202455	0.090099	0.542241	19203.152344
3558.239670	1.052812	0.437448	441.128418
3558.240625	1.557576	0.437448	1928.613159
3558.241556	1.547003	0.437448	3368.873047
3558.242453	1.507716	0.437448	4721.294434
3558.243372	1.466664	0.437448	6069.158203
3558.244343	1.426267	0.437448	7454.063477
3558.245272	1.388262	0.437448	8743.758789
3558.246146	1.354094	0.437448	9927.237305
3558.247172	1.315866	0.437448	11277.315430
3558.248120	1.281764	0.437448	12492.427734
3558.249057	1.249299	0.437448	13663.021484
3558.249923	1.219285	0.437448	14718.921875
3558.250897	1.188193	0.437448	15876.222656
3558.251862	1.157736	0.437448	16993.437500
3558.252740	1.131442	0.437448	17986.843750
3558.253664	0.433876	0.437448	18387.744141
3558.254605	0.090630	0.437448	18473.027344
3558.255534	0.090018	0.437448	18556.654297
3558.256414	0.090055	0.437448	18635.902344
3558.257366	0.089974	0.437448	18721.558594
3558.258321	0.090037	0.437448	18807.542969
3558.259244	0.090084	0.437448	18890.691406
3558.260107	0.090000	0.437448	18968.361328
3558.261081	0.090059	0.437448	19056.078125
3558.262024	0.090040	0.437448	19140.986328
3558.262892	0.090055	0.437448	19219.154297
3559.213065	1.120833	0.582967	555.932922
3559.213952	1.559132	0.582967	1938.883057
3559.214827	1.548574	0.582967	3293.885498
3559.215747	1.508269	0.582967	4681.493164
3559.216763	1.462837	0.582967	6167.735352
3559.217651	1.425410	0.582967	7433.499512
3559.218526	1.390071	0.582967	8649.811523
3559.219545	1.351443	0.582967	10026.931641
3559.220446	1.316528	0.582967	11213.124023
3559.221359	1.284185	0.582967	12385.584961
3559.222243	1.252181	0.582967	13492.513672
3559.223293	1.217545	0.582967	14770.935547
3559.224188	1.187823	0.582967	15834.037109
3559.225112	1.159156	0.582967	16905.097656
3559.225983	1.132639	0.582967	17891.626953
3559.226980	0.441515	0.582967	18331.816406
3559.227910	0.091047	0.582967	18416.490234
3559.228790	0.090004	0.582967	18495.693359
3559.229753	0.089993	0.582967	18582.355469
3559.230668	0.089982	0.582967	18664.689453
3559.231560	0.089985	0.582967	18744.957031
3559.232435	0.090026	0.582967	18823.728516
3559.233466	0.090018	0.582967	18916.537109
3559.234379	0.090048	0.582967	18998.750000
3559.235273	0.090073	0.582967	19079.275391
3559.236145	0.089967	0.582967	19157.726562
3560.274635	1.079700	0.410994	465.350555
3560.275518	1.556455	0.410994	1839.700439
3560.276496	1.547897	0.410994	3353.543457
3560.277400	1.507379	0.410994	4716.214355
3560.278327	1.466089	0.410994	6075.278809
3560.279197	1.428431	0.410994	7318.014160
3560.280212	1.388599	0.410994	8727.441406
3560.281147	1.352263	0.410994	9991.807617
3560.282036	1.318989	0.410994	11164.388672
3560.282954	1.286638	0.410994	12345.522461
3560.283898	1.252914	0.410994	13528.273437
3560.284830	1.221105	0.410994	14666.342773
3560.285709	1.191947	0.410994	15714.064453
3560.286626	1.162756	0.410994	16780.312500
3560.287583	1.134133	0.410994	17865.677734
3560.288515	0.523744	0.410994	18353.806641
3560.289394	0.092589	0.410994	18435.193359
3560.290371	0.089996	0.410994	18523.119141
3560.291284	0.089985	0.410994	18605.275391
3560.292163	0.090055	0.410994	18684.433594
3560.293221	0.089960	0.410994	18779.611328
3560.294167	0.090022	0.410994	18864.771484
3560.295091	0.090048	0.410994	18947.974609
3560.295958	0.090018	0.410994	19026.019531
3560.296902	0.089967	0.410994	19110.949219
3560.297818	0.089956	0.410994	19193.349609
3561.250246	1.070713	0.584136	464.689423
3561.251124	1.554778	0.584136	1829.784424
3561.252121	1.546842	0.584136	3371.985840
3561.253119	1.502402	0.584136	4871.383301
3561.254008	1.462698	0.584136	6171.721680
3561.254874	1.424952	0.584136	7405.730469
3561.255978	1.382073	0.584136	8931.539062
3561.256902	1.346049	0.584136	10175.288086
3561.257791	1.313148	0.584136	11342.676758
3561.258792	1.278171	0.584136	12622.125977
3561.259795	1.242858	0.584136	13868.711914
3561.260685	1.212572	0.584136	14947.901367
3561.261548	1.183641	0.584136	15969.383789
3561.262635	1.150807	0.584136	17220.310547
3561.263551	1.071522	0.584136	18201.824219
3561.264425	0.216335	0.584136	18390.902344
3561.265404	0.090004	0.584136	18479.015625
3561.266413	0.089897	0.584136	18569.722656
3561.267309	0.089993	0.584136	18650.355469
3561.268175	0.090015	0.584136	18728.308594
3561.269249	0.090022	0.584136	18824.992187
3561.270183	0.089996	0.584136	18909.048828
3561.271104	0.090004	0.584136	18991.941406
3561.271966	0.090088	0.584136	19069.597656
3561.273000	0.090044	0.584136	19162.703125
3562.302247	1.152352	0.438218	598.070862
3562.303207	1.563274	0.438218	2098.813721
3562.304086	1.544667	0.438218	3456.575684
3562.304997	1.503626	0.438218	4826.378418
3562.306081	1.456886	0.438218	6405.642578
3562.306965	1.419313	0.438218	7660.314941
3562.307841	1.383647	0.438218	8872.390625
3562.308734	1.348055	0.438218	10076.204102
3562.309765	1.310508	0.438218	11427.337891
3562.310693	1.278157	0.438218	12613.466797
3562.311564	1.246505	0.438218	13699.172852
3562.312668	1.210737	0.438218	15035.827148
3562.313571	1.181023	0.438218	16102.291016
3562.314452	1.153520	0.438218	17118.542969
3562.315320	1.085819	0.438218	18061.033203
3562.316386	0.191228	0.438218	18264.882812
3562.317273	0.089835	0.438218	18344.566406
3562.318149	0.090062	0.438218	18423.460937
3562.319149	0.089963	0.438218	18513.423828
3562.320074	0.090015	0.438218	18596.687500
3562.320993	0.090018	0.438218	18679.414062
3562.321853	0.090059	0.438218	18756.865234
3562.322873	0.090073	0.438218	18848.740234
3562.323768	0.089974	0.438218	18929.267578
3562.324644	0.090026	0.438218	19008.130859
3563.290052	1.061781	0.578722	457.627625
3563.290919	1.553434	0.578722	1804.454590
3563.292000	1.543242	0.578722	3472.699463
3563.292985	1.499469	0.578722	4949.676270
3563.293874	1.460266	0.578722	6247.852539
3563.294871	1.419137	0.578722	7662.732422
3563.295921	1.377587	0.578722	9109.198242
3563.296817	1.342196	0.578722	10311.805664
3563.297690	1.308666	0.578722	11454.271484
3563.298783	1.271558	0.578722	12844.083984
3563.299752	1.238163	0.578722	14043.863281
3563.300621	1.208430	0.578722	15093.989258
3563.301656	1.174717	0.578722	16309.821289
3563.302721	1.142527	0.578722	17526.613281
3563.303601	0.879525	0.578722	18300.595703
3563.304540	0.122014	0.578722	18415.167969
3563.305599	0.089996	0.578722	18510.474609
3563.306532	0.090048	0.578722	18594.488281
3563.307411	0.090073	0.578722	18673.662109
3563.308350	0.090081	0.578722	18758.248047
3563.309399	0.090044	0.578722	18852.705078
3563.310295	0.090088	0.578722	18933.423828
3563.311155	0.090055	0.578722	19010.871094
3563.312209	0.090040	0.578722	19105.773437
3563.313166	0.090026	0.578722	19191.927734
3564.334311	1.092612	0.415985	505.879486
3564.335400	1.562739	0.415985	2207.702393
3564.336368	1.538075	0.415985	3696.559082
3564.337236	1.498528	0.415985	4997.281250
3564.338275	1.453096	0.415985	6507.047852
3564.339310	1.410242	0.415985	7966.647949
3564.340197	1.374653	0.415985	9185.965820
3564.341131	1.339281	0.415985	10436.854492
3564.342192	1.300400	0.415985	11816.579102
3564.343125	1.267449	0.415985	12999.108398
3564.343988	1.237072	0.415985	14066.701172
3564.345051	1.202161	0.415985	15344.597656
3564.346075	1.169308	0.415985	16541.968750
3564.346959	1.141864	0.415985	17551.376953
3564.347937	0.749063	0.415985	18283.960937
3564.348998	0.096240	0.415985	18386.072266
3564.349907	0.089949	0.415985	18467.835937
3564.350775	0.090015	0.415985	18545.968750
3564.351848	0.090125	0.415985	18642.671875
3564.352837	0.090000	0.415985	18731.681641
3564.353738	0.090011	0.415985	18812.781250
3564.354712	0.090070	0.415985	18900.509766
3564.355757	0.090073	0.415985	18994.636719
3564.356658	0.089963	0.415985	19075.693359
3564.357520	0.090015	0.415985	19153.285156
3565.324539	1.116460	0.534353	532.551392
3565.325460	1.559846	0.534353	1969.169678
3565.326351	1.546838	0.534353	3347.402832
3565.327275	1.506716	0.534353	4739.608887
3565.328235	1.464012	0.534353	6145.060547
3565.329166	1.424616	0.534353	7471.377441
3565.330041	1.388807	0.534353	8686.583984
3565.331117	1.347777	0.534353	10136.791992
3565.332170	1.308735	0.534353	11514.890625
3565.333102	1.275421	0.534353	12703.583008
3565.333974	1.244128	0.534353	13788.462891
3565.335059	1.208635	0.534353	15099.832031
3565.336057	1.175984	0.534353	16273.463867
3565.336940	1.148427	0.534353	17287.525391
3565.337941	0.933351	0.534353	18221.810547
3565.338991	0.120183	0.534353	18348.001953
3565.339885	0.089952	0.534353	18428.419922
3565.340747	0.090077	0.534353	18506.066406
3565.341837	0.090103	0.534353	18604.277344
3565.342821	0.090000	0.534353	18692.837891
3565.343699	0.090044	0.534353	18771.896484
3565.344688	0.090128	0.534353	18861.033203
3565.345735	0.090022	0.534353	18955.287109
3565.346626	0.090026	0.534353	19035.500000
3565.347508	0.090070	0.534353	19114.941406
3566.367161	1.053743	0.426668	441.518219
3566.368221	1.560048	0.426668	2095.168701
3566.369232	1.539166	0.426668	3651.265869
3566.370116	1.499301	0.426668	4976.647461
3566.371108	1.456388	0.426668	6421.384277
3566.372153	1.412417	0.426668	7897.360352
3566.373068	1.375649	0.426668	9156.080078
3566.373932	1.341548	0.426668	10315.177734
3566.375007	1.303184	0.426668	11716.099609
3566.375999	1.267866	0.426668	12973.823242
3566.376882	1.237251	0.426668	14066.316406
3566.377878	1.203929	0.426668	15265.429687
3566.378936	1.170399	0.426668	16503.712891
3566.379842	1.141835	0.426668	17538.214844
3566.380711	0.821301	0.426668	18251.925781
3566.381816	0.099734	0.426668	18362.130859
3566.382779	0.089971	0.426668	18448.773437
3566.383646	0.090051	0.426668	18526.847656
3566.384651	0.090037	0.426668	18617.333984
3566.385695	0.089982	0.426668	18711.275391
3566.386585	0.090066	0.426668	18791.433594
3566.387496	0.090037	0.426668	18873.457031
3566.388583	0.090110	0.426668	18971.406250
3566.389532	0.090000	0.426668	19056.816406
3566.390397	0.090007	0.426668	19134.671875
3567.355580	1.049242	0.555925	441.730835
3567.356510	1.553778	0.555925	1886.744385
