crossing time (s)	slope (V/s)	crossing number
994.524678	3.850142	281
995.520042	3.560046	282
996.559381	3.916010	283
997.540422	3.752210	284
998.590016	3.837147	285
999.571786	3.949354	286
1000.607850	3.593661	287
1001.606378	3.531854	288
1002.627632	3.407181	289
1003.654225	2.643928	290
1004.649150	3.804759	291
1005.693963	3.567955	292
1006.670513	3.734026	293
1007.734216	3.494322	294
1008.701411	4.092399	295
1009.769981	3.957006	296
1010.733968	4.000573	297
1011.798866	3.967699	298
1012.767498	4.148647	299
1013.829330	4.285761	300
1014.800808	4.400822	301
1015.857641	4.379043	302
1016.834483	4.799939	303
1017.889006	4.580051	304
1018.864157	4.695393	305
1019.918463	4.791143	306
1020.895098	5.017944	307
1021.951328	4.566465	308
1022.922142	4.931148	309
1023.984304	4.742348	310
1024.953207	4.639770	311
1026.012982	4.898582	312
1026.983653	4.828675	313
1028.039900	4.854172	314
1029.017831	4.895366	315
1030.062014	4.986533	316
1031.056733	4.875705	317
1032.083160	5.177611	318
1033.097005	5.262658	319
1034.102446	5.295114	320
1035.131417	4.795969	321
1036.127644	5.377694	322
1037.163810	5.202735	323
1038.152842	5.582533	324
1039.192322	5.310428	325
1040.182930	5.631828	326
1041.216994	5.247768	327
1042.216818	5.408121	328
1043.243151	5.511274	329
1044.249788	5.124468	330
1045.264658	6.188825	331
1046.282421	5.085294	332
1047.291643	6.257318	333
1048.314630	5.099455	334
1049.316707	6.423891	335
1050.345334	5.523827	336
1051.347339	6.554179	337
1052.373675	5.502445	338
1053.374464	6.249337	339
1054.398853	5.603281	340
1055.404126	5.978870	341
1056.427724	5.789350	342
1057.434914	5.912278	343
1058.450740	6.036721	344
1059.467861	6.164697	345
1060.477342	6.461072	346
1061.497339	6.539287	347
1062.500736	6.655924	348
1063.530914	6.208140	349
1064.524258	6.606427	350
1065.561527	5.917015	351
1066.550587	6.466390	352
1067.588645	5.692230	353
1068.580748	5.850866	354
1069.612753	5.952977	355
1070.615298	5.473705	356
1071.634701	6.140755	357
1072.650880	5.931444	358
1073.658590	6.990192	359
1074.686071	7.030753	360
1075.680461	7.228827	361
1076.717325	7.137823	362
1077.700929	7.519637	363
1078.749272	6.555664	364
1079.726442	7.715177	365
1080.779514	6.207200	366
1081.749558	7.446682	367
1082.807494	6.403244	368
1083.777774	7.201260	369
1084.834237	6.247227	370
1085.808956	6.474582	371
1086.861999	6.266893	372
1087.837403	6.153026	373
1088.893192	6.481393	374
1089.864299	6.155749	375
1090.920629	6.462669	376
1091.892806	6.361125	377
1092.946407	6.680097	378
1093.923840	6.429753	379
1094.971151	7.040417	380
1095.953363	6.532948	381
1096.994193	7.095818	382
1097.986651	6.940171	383
1099.014926	6.877924	384
1100.019779	7.118027	385
1101.037469	7.140652	386
1102.054194	6.757640	387
1103.057632	7.165032	388
1104.086775	6.548471	389
1105.083775	7.257313	390
1106.115394	6.887415	391
1107.108517	7.244217	392
1108.142618	7.120170	393
1109.137460	7.286242	394
1110.170716	7.089608	395
1111.165328	7.347098	396
1112.193019	7.103350	397
1113.192412	7.290419	398
1114.221109	7.244105	399
1115.221235	6.956109	400
1116.246009	7.074830	401
1117.250762	6.865031	402
1118.271665	7.129056	403
1119.277606	6.839200	404
1120.302252	6.925636	405
1121.303617	6.774838	406
1122.330318	6.666266	407
1123.331599	6.843472	408
1124.357441	6.745299	409
1125.357617	7.050632	410
1126.387799	6.852481	411
1127.383282	6.941564	412
1128.418719	6.886853	413
1129.408023	7.180494	414
1130.442839	6.839485	415
1131.437228	7.267559	416
1132.469724	7.192419	417
1133.469574	7.285324	418
1134.491779	7.047562	419
1135.501779	7.437110	420
1136.516200	7.421071	421
1137.533941	7.446780	422
1138.536651	7.753511	423
1139.566206	7.395525	424
1140.557532	7.476974	425
1141.598243	7.332858	426
1142.581990	7.629008	427
1143.625418	7.249151	428
1144.606663	7.509186	429
1145.655524	7.419118	430
1146.633736	7.290089	431
1147.685915	7.349512	432
1148.657991	7.320558	433
1149.711244	7.160736	434
1150.686998	7.092517	435
1151.738464	7.410811	436
1152.716236	7.177678	437
1153.767734	7.738948	438
1154.742113	7.306390	439
1155.792273	7.699652	440
1156.772497	7.482824	441
1157.818243	7.942645	442
1158.803502	7.442438	443
1159.839742	7.834641	444
1160.834900	7.760080	445
1161.860999	7.537497	446
1162.867411	7.712992	447
1163.884639	7.844914	448
1164.900001	7.334117	449
1165.905331	7.886029	450
1166.929467	7.347501	451
1167.929204	8.054522	452
1168.958922	7.704905	453
1169.955640	8.052416	454
1170.989022	7.729572	455
1171.980651	7.917033	456
1173.015333	7.432373	457
1174.008055	8.015974	458
1175.041378	7.303816	459
1176.036451	7.645133	460
1177.068161	7.335134	461
1178.062925	7.360557	462
1179.093653	7.291445	463
1180.092626	7.399254	464
1181.122419	7.228566	465
1182.118045	7.408620	466
1183.148628	7.268535	467
1184.144465	7.396749	468
1185.178366	7.066357	469
1186.171591	7.153009	470
1187.207459	7.153861	471
1188.196536	7.225184	472
1189.231922	7.534547	473
1190.226130	7.284218	474
1191.258605	7.540705	475
1192.251610	7.707117	476
1193.282963	7.672570	477
1194.281837	8.135096	478
1195.305747	7.718009	479
1196.312271	8.042722	480
1197.328015	7.522802	481
